As At Month,Visa Type,Occupation,EOI Status,Points,Nominated State,Count EOIs
02/2026,189PTS Points-Tested Stream,241111 Early Childhood (Pre-primary School) Teacher,SUBMITTED,40,N/A,<20
02/2026,189PTS Points-Tested Stream,241111 Early Childhood (Pre-primary School) Teacher,SUBMITTED,45,N/A,<20
02/2026,189PTS Points-Tested Stream,241111 Early Childhood (Pre-primary School) Teacher,SUBMITTED,50,N/A,71
02/2026,189PTS Points-Tested Stream,241111 Early Childhood (Pre-primary School) Teacher,SUBMITTED,55,N/A,158
02/2026,189PTS Points-Tested Stream,241111 Early Childhood (Pre-primary School) Teacher,SUBMITTED,60,N/A,565
02/2026,189PTS Points-Tested Stream,241111 Early Childhood (Pre-primary School) Teacher,SUBMITTED,65,N/A,1523
02/2026,189PTS Points-Tested Stream,241111 Early Childhood (Pre-primary School) Teacher,SUBMITTED,70,N/A,2367
02/2026,189PTS Points-Tested Stream,241111 Early Childhood (Pre-primary School) Teacher,SUBMITTED,75,N/A,1918
02/2026,189PTS Points-Tested Stream,241111 Early Childhood (Pre-primary School) Teacher,SUBMITTED,80,N/A,1613
02/2026,189PTS Points-Tested Stream,241111 Early Childhood (Pre-primary School) Teacher,SUBMITTED,85,N/A,1202
02/2026,189PTS Points-Tested Stream,241111 Early Childhood (Pre-primary School) Teacher,SUBMITTED,90,N/A,121
02/2026,189PTS Points-Tested Stream,241111 Early Childhood (Pre-primary School) Teacher,SUBMITTED,95,N/A,<20
02/2026,189PTS Points-Tested Stream,241111 Early Childhood (Pre-primary School) Teacher,LODGED,55,N/A,<20
02/2026,189PTS Points-Tested Stream,241111 Early Childhood (Pre-primary School) Teacher,LODGED,60,N/A,<20
02/2026,189PTS Points-Tested Stream,241111 Early Childhood (Pre-primary School) Teacher,LODGED,65,N/A,23
02/2026,189PTS Points-Tested Stream,241111 Early Childhood (Pre-primary School) Teacher,LODGED,70,N/A,37
02/2026,189PTS Points-Tested Stream,241111 Early Childhood (Pre-primary School) Teacher,LODGED,75,N/A,30
02/2026,189PTS Points-Tested Stream,241111 Early Childhood (Pre-primary School) Teacher,LODGED,80,N/A,31
02/2026,189PTS Points-Tested Stream,241111 Early Childhood (Pre-primary School) Teacher,LODGED,85,N/A,250
02/2026,189PTS Points-Tested Stream,241111 Early Childhood (Pre-primary School) Teacher,LODGED,90,N/A,36
02/2026,189PTS Points-Tested Stream,241111 Early Childhood (Pre-primary School) Teacher,INVITED,60,N/A,<20
02/2026,189PTS Points-Tested Stream,241111 Early Childhood (Pre-primary School) Teacher,INVITED,65,N/A,<20
02/2026,189PTS Points-Tested Stream,241111 Early Childhood (Pre-primary School) Teacher,INVITED,70,N/A,<20
02/2026,189PTS Points-Tested Stream,241111 Early Childhood (Pre-primary School) Teacher,INVITED,75,N/A,<20
02/2026,189PTS Points-Tested Stream,241111 Early Childhood (Pre-primary School) Teacher,INVITED,80,N/A,<20
02/2026,189PTS Points-Tested Stream,241111 Early Childhood (Pre-primary School) Teacher,INVITED,85,N/A,<20
02/2026,189PTS Points-Tested Stream,241111 Early Childhood (Pre-primary School) Teacher,INVITED,90,N/A,<20
02/2026,189PTS Points-Tested Stream,241111 Early Childhood (Pre-primary School) Teacher,HOLD,40,N/A,<20
02/2026,189PTS Points-Tested Stream,241111 Early Childhood (Pre-primary School) Teacher,HOLD,50,N/A,<20
02/2026,189PTS Points-Tested Stream,241111 Early Childhood (Pre-primary School) Teacher,HOLD,55,N/A,<20
02/2026,189PTS Points-Tested Stream,241111 Early Childhood (Pre-primary School) Teacher,HOLD,60,N/A,<20
02/2026,189PTS Points-Tested Stream,241111 Early Childhood (Pre-primary School) Teacher,HOLD,65,N/A,<20
02/2026,189PTS Points-Tested Stream,241111 Early Childhood (Pre-primary School) Teacher,HOLD,70,N/A,25
02/2026,189PTS Points-Tested Stream,241111 Early Childhood (Pre-primary School) Teacher,HOLD,75,N/A,37
02/2026,189PTS Points-Tested Stream,241111 Early Childhood (Pre-primary School) Teacher,HOLD,80,N/A,38
02/2026,189PTS Points-Tested Stream,241111 Early Childhood (Pre-primary School) Teacher,HOLD,85,N/A,42
02/2026,189PTS Points-Tested Stream,241111 Early Childhood (Pre-primary School) Teacher,HOLD,90,N/A,<20
02/2026,189PTS Points-Tested Stream,241111 Early Childhood (Pre-primary School) Teacher,HOLD,95,N/A,<20
02/2026,189PTS Points-Tested Stream,241111 Early Childhood (Pre-primary School) Teacher,HOLD,100,N/A,<20
02/2026,189PTS Points-Tested Stream,241111 Early Childhood (Pre-primary School) Teacher,CLOSED,40,N/A,<20
02/2026,189PTS Points-Tested Stream,241111 Early Childhood (Pre-primary School) Teacher,CLOSED,45,N/A,<20
02/2026,189PTS Points-Tested Stream,241111 Early Childhood (Pre-primary School) Teacher,CLOSED,50,N/A,<20
02/2026,189PTS Points-Tested Stream,241111 Early Childhood (Pre-primary School) Teacher,CLOSED,55,N/A,46
02/2026,189PTS Points-Tested Stream,241111 Early Childhood (Pre-primary School) Teacher,CLOSED,60,N/A,142
02/2026,189PTS Points-Tested Stream,241111 Early Childhood (Pre-primary School) Teacher,CLOSED,65,N/A,383
02/2026,189PTS Points-Tested Stream,241111 Early Childhood (Pre-primary School) Teacher,CLOSED,70,N/A,541
02/2026,189PTS Points-Tested Stream,241111 Early Childhood (Pre-primary School) Teacher,CLOSED,75,N/A,840
02/2026,189PTS Points-Tested Stream,241111 Early Childhood (Pre-primary School) Teacher,CLOSED,80,N/A,805
02/2026,189PTS Points-Tested Stream,241111 Early Childhood (Pre-primary School) Teacher,CLOSED,85,N/A,717
02/2026,189PTS Points-Tested Stream,241111 Early Childhood (Pre-primary School) Teacher,CLOSED,90,N/A,87
02/2026,189PTS Points-Tested Stream,241111 Early Childhood (Pre-primary School) Teacher,CLOSED,95,N/A,<20
02/2026,189PTS Points-Tested Stream,241111 Early Childhood (Pre-primary School) Teacher,CLOSED,100,N/A,<20
02/2026,189PTS Points-Tested Stream,241111 Early Childhood (Pre-primary School) Teacher,CLOSED,125,N/A,<20
02/2026,189PTS Points-Tested Stream,241411 Secondary School Teacher,SUBMITTED,40,N/A,<20
02/2026,189PTS Points-Tested Stream,241411 Secondary School Teacher,SUBMITTED,45,N/A,<20
02/2026,189PTS Points-Tested Stream,241411 Secondary School Teacher,SUBMITTED,50,N/A,25
02/2026,189PTS Points-Tested Stream,241411 Secondary School Teacher,SUBMITTED,55,N/A,54
02/2026,189PTS Points-Tested Stream,241411 Secondary School Teacher,SUBMITTED,60,N/A,163
02/2026,189PTS Points-Tested Stream,241411 Secondary School Teacher,SUBMITTED,65,N/A,467
02/2026,189PTS Points-Tested Stream,241411 Secondary School Teacher,SUBMITTED,70,N/A,507
02/2026,189PTS Points-Tested Stream,241411 Secondary School Teacher,SUBMITTED,75,N/A,471
02/2026,189PTS Points-Tested Stream,241411 Secondary School Teacher,SUBMITTED,80,N/A,259
02/2026,189PTS Points-Tested Stream,241411 Secondary School Teacher,SUBMITTED,85,N/A,79
02/2026,189PTS Points-Tested Stream,241411 Secondary School Teacher,SUBMITTED,90,N/A,20
02/2026,189PTS Points-Tested Stream,241411 Secondary School Teacher,SUBMITTED,95,N/A,<20
02/2026,189PTS Points-Tested Stream,241411 Secondary School Teacher,SUBMITTED,100,N/A,<20
02/2026,189PTS Points-Tested Stream,241411 Secondary School Teacher,LODGED,60,N/A,<20
02/2026,189PTS Points-Tested Stream,241411 Secondary School Teacher,LODGED,65,N/A,23
02/2026,189PTS Points-Tested Stream,241411 Secondary School Teacher,LODGED,70,N/A,38
02/2026,189PTS Points-Tested Stream,241411 Secondary School Teacher,LODGED,75,N/A,86
02/2026,189PTS Points-Tested Stream,241411 Secondary School Teacher,LODGED,80,N/A,191
02/2026,189PTS Points-Tested Stream,241411 Secondary School Teacher,LODGED,85,N/A,75
02/2026,189PTS Points-Tested Stream,241411 Secondary School Teacher,LODGED,90,N/A,<20
02/2026,189PTS Points-Tested Stream,241411 Secondary School Teacher,INVITED,60,N/A,<20
02/2026,189PTS Points-Tested Stream,241411 Secondary School Teacher,INVITED,65,N/A,<20
02/2026,189PTS Points-Tested Stream,241411 Secondary School Teacher,INVITED,70,N/A,<20
02/2026,189PTS Points-Tested Stream,241411 Secondary School Teacher,INVITED,75,N/A,<20
02/2026,189PTS Points-Tested Stream,241411 Secondary School Teacher,INVITED,80,N/A,<20
02/2026,189PTS Points-Tested Stream,241411 Secondary School Teacher,INVITED,85,N/A,<20
02/2026,189PTS Points-Tested Stream,241411 Secondary School Teacher,HOLD,50,N/A,<20
02/2026,189PTS Points-Tested Stream,241411 Secondary School Teacher,HOLD,55,N/A,<20
02/2026,189PTS Points-Tested Stream,241411 Secondary School Teacher,HOLD,60,N/A,<20
02/2026,189PTS Points-Tested Stream,241411 Secondary School Teacher,HOLD,65,N/A,<20
02/2026,189PTS Points-Tested Stream,241411 Secondary School Teacher,HOLD,70,N/A,<20
02/2026,189PTS Points-Tested Stream,241411 Secondary School Teacher,HOLD,75,N/A,<20
02/2026,189PTS Points-Tested Stream,241411 Secondary School Teacher,HOLD,80,N/A,<20
