As At Month,Visa Type,Occupation,EOI Status,Points,Nominated State,Count EOIs
02/2026,189PTS Points-Tested Stream,133111 Construction Project Manager,SUBMITTED,35,N/A,<20
02/2026,189PTS Points-Tested Stream,133111 Construction Project Manager,SUBMITTED,40,N/A,<20
02/2026,189PTS Points-Tested Stream,133111 Construction Project Manager,SUBMITTED,45,N/A,<20
02/2026,189PTS Points-Tested Stream,133111 Construction Project Manager,SUBMITTED,50,N/A,30
02/2026,189PTS Points-Tested Stream,133111 Construction Project Manager,SUBMITTED,55,N/A,86
02/2026,189PTS Points-Tested Stream,133111 Construction Project Manager,SUBMITTED,60,N/A,150
02/2026,189PTS Points-Tested Stream,133111 Construction Project Manager,SUBMITTED,65,N/A,483
02/2026,189PTS Points-Tested Stream,133111 Construction Project Manager,SUBMITTED,70,N/A,548
02/2026,189PTS Points-Tested Stream,133111 Construction Project Manager,SUBMITTED,75,N/A,468
02/2026,189PTS Points-Tested Stream,133111 Construction Project Manager,SUBMITTED,80,N/A,274
02/2026,189PTS Points-Tested Stream,133111 Construction Project Manager,SUBMITTED,85,N/A,118
02/2026,189PTS Points-Tested Stream,133111 Construction Project Manager,SUBMITTED,90,N/A,30
02/2026,189PTS Points-Tested Stream,133111 Construction Project Manager,SUBMITTED,95,N/A,<20
02/2026,189PTS Points-Tested Stream,133111 Construction Project Manager,LODGED,55,N/A,<20
02/2026,189PTS Points-Tested Stream,133111 Construction Project Manager,LODGED,60,N/A,<20
02/2026,189PTS Points-Tested Stream,133111 Construction Project Manager,LODGED,65,N/A,<20
02/2026,189PTS Points-Tested Stream,133111 Construction Project Manager,LODGED,70,N/A,27
02/2026,189PTS Points-Tested Stream,133111 Construction Project Manager,LODGED,75,N/A,85
02/2026,189PTS Points-Tested Stream,133111 Construction Project Manager,LODGED,80,N/A,32
02/2026,189PTS Points-Tested Stream,133111 Construction Project Manager,LODGED,85,N/A,55
02/2026,189PTS Points-Tested Stream,133111 Construction Project Manager,LODGED,90,N/A,<20
02/2026,189PTS Points-Tested Stream,133111 Construction Project Manager,LODGED,95,N/A,<20
02/2026,189PTS Points-Tested Stream,133111 Construction Project Manager,INVITED,60,N/A,<20
02/2026,189PTS Points-Tested Stream,133111 Construction Project Manager,INVITED,70,N/A,<20
02/2026,189PTS Points-Tested Stream,133111 Construction Project Manager,INVITED,75,N/A,<20
02/2026,189PTS Points-Tested Stream,133111 Construction Project Manager,INVITED,80,N/A,<20
02/2026,189PTS Points-Tested Stream,133111 Construction Project Manager,INVITED,85,N/A,<20
02/2026,189PTS Points-Tested Stream,133111 Construction Project Manager,INVITED,90,N/A,<20
02/2026,189PTS Points-Tested Stream,133111 Construction Project Manager,HOLD,55,N/A,<20
02/2026,189PTS Points-Tested Stream,133111 Construction Project Manager,HOLD,60,N/A,<20
02/2026,189PTS Points-Tested Stream,133111 Construction Project Manager,HOLD,65,N/A,<20
02/2026,189PTS Points-Tested Stream,133111 Construction Project Manager,HOLD,70,N/A,<20
02/2026,189PTS Points-Tested Stream,133111 Construction Project Manager,HOLD,75,N/A,<20
02/2026,189PTS Points-Tested Stream,133111 Construction Project Manager,HOLD,80,N/A,<20
02/2026,189PTS Points-Tested Stream,133111 Construction Project Manager,HOLD,90,N/A,<20
02/2026,189PTS Points-Tested Stream,133111 Construction Project Manager,CLOSED,20,N/A,<20
02/2026,189PTS Points-Tested Stream,133111 Construction Project Manager,CLOSED,35,N/A,<20
02/2026,189PTS Points-Tested Stream,133111 Construction Project Manager,CLOSED,40,N/A,<20
02/2026,189PTS Points-Tested Stream,133111 Construction Project Manager,CLOSED,45,N/A,<20
02/2026,189PTS Points-Tested Stream,133111 Construction Project Manager,CLOSED,50,N/A,40
02/2026,189PTS Points-Tested Stream,133111 Construction Project Manager,CLOSED,55,N/A,101
02/2026,189PTS Points-Tested Stream,133111 Construction Project Manager,CLOSED,60,N/A,156
02/2026,189PTS Points-Tested Stream,133111 Construction Project Manager,CLOSED,65,N/A,283
02/2026,189PTS Points-Tested Stream,133111 Construction Project Manager,CLOSED,70,N/A,272
02/2026,189PTS Points-Tested Stream,133111 Construction Project Manager,CLOSED,75,N/A,398
02/2026,189PTS Points-Tested Stream,133111 Construction Project Manager,CLOSED,80,N/A,259
02/2026,189PTS Points-Tested Stream,133111 Construction Project Manager,CLOSED,85,N/A,141
02/2026,189PTS Points-Tested Stream,133111 Construction Project Manager,CLOSED,90,N/A,59
02/2026,189PTS Points-Tested Stream,133111 Construction Project Manager,CLOSED,95,N/A,<20
02/2026,189PTS Points-Tested Stream,133111 Construction Project Manager,CLOSED,100,N/A,<20
