As At Month,Visa Type,EOI Status,Count EOIs
02/2026,189PTS Points-Tested Stream,SUBMITTED,18487
02/2026,189PTS Points-Tested Stream,LODGED,352
02/2026,189PTS Points-Tested Stream,INVITED,23
02/2026,189PTS Points-Tested Stream,HOLD,224
02/2026,189PTS Points-Tested Stream,CLOSED,14333
02/2026,190SAS Skilled Australian Sponsored,SUBMITTED,32210
02/2026,190SAS Skilled Australian Sponsored,LODGED,909
02/2026,190SAS Skilled Australian Sponsored,INVITED,72
02/2026,190SAS Skilled Australian Sponsored,HOLD,388
02/2026,190SAS Skilled Australian Sponsored,CLOSED,22484
02/2026,491FSR Family Sponsored - Regional,SUBMITTED,695
02/2026,491FSR Family Sponsored - Regional,LODGED,<20
02/2026,491FSR Family Sponsored - Regional,INVITED,<20
02/2026,491FSR Family Sponsored - Regional,HOLD,<20
02/2026,491FSR Family Sponsored - Regional,CLOSED,429
02/2026,491SNR State or Territory Nominated - Regional,SUBMITTED,31747
02/2026,491SNR State or Territory Nominated - Regional,LODGED,537
02/2026,491SNR State or Territory Nominated - Regional,INVITED,56
02/2026,491SNR State or Territory Nominated - Regional,HOLD,371
02/2026,491SNR State or Territory Nominated - Regional,CLOSED,17309
