As At Month,Visa Type,Occupation,EOI Status,Points,Nominated State,Count EOIs
02/2026,189PTS Points-Tested Stream,224712 Organisation and Methods Analyst,CLOSED,85,N/A,<20
02/2026,189PTS Points-Tested Stream,261111 ICT Business Analyst,SUBMITTED,35,N/A,<20
02/2026,189PTS Points-Tested Stream,261111 ICT Business Analyst,SUBMITTED,40,N/A,<20
02/2026,189PTS Points-Tested Stream,261111 ICT Business Analyst,SUBMITTED,45,N/A,<20
02/2026,189PTS Points-Tested Stream,261111 ICT Business Analyst,SUBMITTED,50,N/A,40
02/2026,189PTS Points-Tested Stream,261111 ICT Business Analyst,SUBMITTED,55,N/A,115
02/2026,189PTS Points-Tested Stream,261111 ICT Business Analyst,SUBMITTED,60,N/A,273
02/2026,189PTS Points-Tested Stream,261111 ICT Business Analyst,SUBMITTED,65,N/A,953
02/2026,189PTS Points-Tested Stream,261111 ICT Business Analyst,SUBMITTED,70,N/A,1085
02/2026,189PTS Points-Tested Stream,261111 ICT Business Analyst,SUBMITTED,75,N/A,1405
02/2026,189PTS Points-Tested Stream,261111 ICT Business Analyst,SUBMITTED,80,N/A,1316
02/2026,189PTS Points-Tested Stream,261111 ICT Business Analyst,SUBMITTED,85,N/A,1147
02/2026,189PTS Points-Tested Stream,261111 ICT Business Analyst,SUBMITTED,90,N/A,1229
02/2026,189PTS Points-Tested Stream,261111 ICT Business Analyst,SUBMITTED,95,N/A,612
02/2026,189PTS Points-Tested Stream,261111 ICT Business Analyst,SUBMITTED,100,N/A,170
02/2026,189PTS Points-Tested Stream,261111 ICT Business Analyst,SUBMITTED,105,N/A,<20
02/2026,189PTS Points-Tested Stream,261111 ICT Business Analyst,SUBMITTED,110,N/A,<20
02/2026,189PTS Points-Tested Stream,261111 ICT Business Analyst,LODGED,60,N/A,<20
02/2026,189PTS Points-Tested Stream,261111 ICT Business Analyst,LODGED,65,N/A,<20
02/2026,189PTS Points-Tested Stream,261111 ICT Business Analyst,LODGED,70,N/A,<20
02/2026,189PTS Points-Tested Stream,261111 ICT Business Analyst,LODGED,75,N/A,22
02/2026,189PTS Points-Tested Stream,261111 ICT Business Analyst,LODGED,80,N/A,33
02/2026,189PTS Points-Tested Stream,261111 ICT Business Analyst,LODGED,85,N/A,48
02/2026,189PTS Points-Tested Stream,261111 ICT Business Analyst,LODGED,90,N/A,66
02/2026,189PTS Points-Tested Stream,261111 ICT Business Analyst,LODGED,95,N/A,29
02/2026,189PTS Points-Tested Stream,261111 ICT Business Analyst,LODGED,100,N/A,<20
02/2026,189PTS Points-Tested Stream,261111 ICT Business Analyst,INVITED,80,N/A,<20
02/2026,189PTS Points-Tested Stream,261111 ICT Business Analyst,INVITED,85,N/A,<20
02/2026,189PTS Points-Tested Stream,261111 ICT Business Analyst,INVITED,90,N/A,<20
02/2026,189PTS Points-Tested Stream,261111 ICT Business Analyst,INVITED,95,N/A,<20
02/2026,189PTS Points-Tested Stream,261111 ICT Business Analyst,HOLD,50,N/A,<20
02/2026,189PTS Points-Tested Stream,261111 ICT Business Analyst,HOLD,55,N/A,<20
02/2026,189PTS Points-Tested Stream,261111 ICT Business Analyst,HOLD,60,N/A,<20
02/2026,189PTS Points-Tested Stream,261111 ICT Business Analyst,HOLD,65,N/A,<20
02/2026,189PTS Points-Tested Stream,261111 ICT Business Analyst,HOLD,70,N/A,<20
02/2026,189PTS Points-Tested Stream,261111 ICT Business Analyst,HOLD,75,N/A,<20
02/2026,189PTS Points-Tested Stream,261111 ICT Business Analyst,HOLD,80,N/A,<20
02/2026,189PTS Points-Tested Stream,261111 ICT Business Analyst,HOLD,85,N/A,<20
02/2026,189PTS Points-Tested Stream,261111 ICT Business Analyst,HOLD,90,N/A,<20
02/2026,189PTS Points-Tested Stream,261111 ICT Business Analyst,HOLD,95,N/A,<20
02/2026,189PTS Points-Tested Stream,261111 ICT Business Analyst,HOLD,100,N/A,<20
02/2026,189PTS Points-Tested Stream,261111 ICT Business Analyst,HOLD,105,N/A,<20
02/2026,189PTS Points-Tested Stream,261111 ICT Business Analyst,HOLD,120,N/A,<20
02/2026,189PTS Points-Tested Stream,261111 ICT Business Analyst,CLOSED,35,N/A,<20
02/2026,189PTS Points-Tested Stream,261111 ICT Business Analyst,CLOSED,40,N/A,<20
02/2026,189PTS Points-Tested Stream,261111 ICT Business Analyst,CLOSED,45,N/A,<20
02/2026,189PTS Points-Tested Stream,261111 ICT Business Analyst,CLOSED,50,N/A,70
